City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dunedin,-45.8742,170.5036,12.11,57,89,0.45,NZ,1706983257
1,manicore,-5.8092,-61.3003,30.17,75,86,1.28,BR,1706983257
2,nova sintra,14.8667,-24.7167,21.26,69,60,6.02,CV,1706983257
3,cooma,-36.2333,149.1333,14.31,63,77,0.87,AU,1706982665
4,ribeira grande,38.5167,-28.7,18.22,77,20,8.05,PT,1706983258
5,blackmans bay,-43.0167,147.3167,15.29,86,100,2.24,AU,1706983258
6,port elizabeth,-33.918,25.5701,24.5,95,100,3.09,ZA,1706983258
7,afaahiti,-17.75,-149.2833,27.93,74,81,3.97,PF,1706983258
8,bredasdorp,-34.5322,20.0403,24.16,76,96,5.15,ZA,1706983258
9,grytviken,-54.2811,-36.5092,8.73,93,100,5.23,GS,1706983259
10,iskateley,67.6803,53.1512,-12.77,86,20,6.26,RU,1706983074
11,mount pearl,47.5166,-52.7813,-1.75,87,100,7.72,CA,1706983259
12,hithadhoo,-0.6,73.0833,28.34,77,100,3.03,MV,1706983259
13,remire-montjoly,4.9167,-52.2667,32.02,62,20,5.66,GF,1706983260
14,georgetown,5.4112,100.3354,28.96,87,20,1.03,MY,1706983216
15,vernon,50.2581,-119.2691,4.61,96,100,0.51,CA,1706983247
16,port-aux-francais,-49.35,70.2167,8.02,74,66,4.04,TF,1706983260
17,abepura,-2.6333,140.5833,23.45,100,20,0.51,ID,1706983260
18,tazovsky,67.4667,78.7,-14.43,93,100,2.98,RU,1706983260
19,greymouth,-42.4667,171.2,12.24,82,96,2.26,NZ,1706983261
20,margaret river,-33.95,115.0667,16.77,59,56,6.8,AU,1706983261
21,lorengau,-2.0226,147.2712,27.43,78,57,1.24,PG,1706983261
22,wailua homesteads,22.0669,-159.378,19.86,68,12,3.13,US,1706983262
23,palikir - national government center,6.9248,158.1611,27.42,79,99,6.11,FM,1706982684
24,acarau,-2.8856,-40.12,29.74,65,85,7.96,BR,1706983262
25,dobryanka,58.4619,56.4165,-9.2,92,100,5.1,RU,1706983262
26,yellowknife,62.456,-114.3525,-17.55,96,100,7.2,CA,1706983262
27,necochea,-38.5473,-58.7368,23.52,56,3,9.47,AR,1706983211
28,aasiaat,68.7098,-52.8699,-30.65,97,43,2.39,GL,1706983263
29,anadyr,64.75,177.4833,-19.72,70,0,3.58,RU,1706983263
30,kurumkan,54.3,110.3,-22.15,97,14,0.89,RU,1706983263
31,callao,-12.0667,-77.15,27.16,65,0,6.69,PE,1706983264
32,sitka,57.0531,-135.33,0.94,80,100,3.09,US,1706983264
33,pangoa,-12.1167,-73.0,31.22,48,93,2.23,PE,1706983264
34,thompson,55.7435,-97.8558,-1.91,100,100,4.12,CA,1706983265
35,bethel,41.3712,-73.414,5.01,56,0,6.17,US,1706982821
36,puerto deseado,-47.7503,-65.8938,13.66,48,22,10.51,AR,1706983265
37,nogliki,51.8333,143.1667,-23.14,89,55,3.58,RU,1706983266
38,mandiana,10.6333,-8.6833,33.66,14,0,1.79,GN,1706982985
39,adamstown,-25.066,-130.1015,24.64,75,89,1.65,PN,1706982822
40,ust-nera,64.5667,143.2,-26.54,99,99,1.97,RU,1706983267
41,dayrut,27.556,30.8076,12.74,35,1,3.5,EG,1706983267
42,waitangi,-43.9535,-176.5597,14.34,94,17,0.45,NZ,1706983267
43,ushuaia,-54.8,-68.3,10.81,66,75,5.14,AR,1706983060
44,ulladulla,-35.35,150.4667,17.65,84,87,2.75,AU,1706983268
45,bilibino,68.0546,166.4372,-28.45,78,1,3.25,RU,1706983268
46,alo,7.4178,6.7371,31.94,15,84,2.11,NG,1706983268
47,erenhot,43.6475,111.9767,-19.68,93,23,2.64,CN,1706983269
48,zhob,31.3411,69.4481,4.43,91,100,1.39,PK,1706983269
49,klaksvik,62.2266,-6.589,1.51,80,100,11.74,FO,1706982708
50,mejit,10.2753,170.8646,26.54,78,67,10.22,MH,1706982708
51,nagqu,31.5,92.0,-14.19,29,57,2.13,CN,1706982872
52,longyearbyen,78.2186,15.6401,-11.09,79,0,6.69,SJ,1706983270
53,gadzhiyevo,69.2551,33.3362,-5.68,79,96,13.14,RU,1706983270
54,stanley,54.868,-1.6985,6.95,78,20,7.2,GB,1706983186
55,am timan,11.0297,20.2827,27.94,15,63,2.01,TD,1706982887
56,churapcha,62.0025,132.4325,-40.85,100,79,0.52,RU,1706983271
57,chimbote,-9.0853,-78.5783,26.56,72,86,3.95,PE,1706983271
58,puerto natales,-51.7236,-72.4875,16.25,36,20,11.83,CL,1706983271
59,edinburgh of the seven seas,-37.0676,-12.3116,16.15,72,36,10.0,SH,1706983271
60,invercargill,-46.4,168.35,11.12,78,96,1.79,NZ,1706982612
61,albany,42.6001,-73.9662,2.41,63,52,2.68,US,1706983075
62,sylva,58.0348,56.7635,-8.35,95,100,3.82,RU,1706983272
63,la passe,45.5549,-0.8967,7.13,90,36,3.13,FR,1706983273
64,soio,-6.1349,12.3689,27.62,80,59,4.57,AO,1706982882
65,mirny,62.5353,113.9611,-27.65,68,82,0.89,RU,1706982702
66,gazli,40.1333,63.45,1.87,94,100,3.49,UZ,1706982901
67,klyuchi,52.2667,79.1667,-5.6,89,100,7.01,RU,1706983273
68,sinabang,2.4803,96.3801,25.96,84,100,4.26,ID,1706982687
69,havre,49.5833,0.3333,10.11,100,100,5.14,FR,1706983274
70,minot air force base,48.4209,-101.3391,4.1,93,100,5.66,US,1706983274
71,pariaman,-0.619,100.12,24.03,88,100,1.64,ID,1706983275
72,altai,46.3722,96.2583,-17.22,94,100,1.28,MN,1706982686
73,hilo,19.7297,-155.09,18.47,89,89,3.13,US,1706983208
74,loch garman,52.3342,-6.4575,11.23,100,100,0.89,IE,1706983275
75,olonkinbyen,70.9221,-8.7187,-5.4,68,100,7.3,SJ,1706983276
76,sholinghur,13.1167,79.4167,21.82,87,58,0.33,IN,1706983276
77,susuman,62.7833,148.1667,-25.01,94,100,1.79,RU,1706982821
78,saipan,15.1355,145.701,26.76,69,87,11.33,MP,1706983277
79,tommot,58.9564,126.2925,-35.39,99,78,0.4,RU,1706983277
80,linkou,45.3,130.2833,-27.27,100,10,0.87,CN,1706983277
81,camana,-16.6228,-72.7111,23.55,85,87,2.82,PE,1706983277
82,cristinapolis,-11.4756,-37.7553,32.41,32,83,5.5,BR,1706983278
83,morehead city,34.7229,-76.726,11.13,61,8,3.58,US,1706982882
